
SOAP Analysis Report Output for starlink_100_sats_3.orb,
Generated: Thu Dec 15 22:26:46 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-3349 - STARLINK-2272,
       Rise,         Set, Duration (s),
   10624.198,   11386.233,     762.036,
   24951.909,   25697.828,     745.919,
   39276.776,   40011.452,     734.675,
   53605.031,   54322.525,     717.494,
   67930.490,   68635.532,     705.042,
   82259.332,   82946.041,     686.709,
Is_True,           5.0369%,
Analysis,STARLINK-3349 - STARLINK-3538,
       Rise,         Set, Duration (s),
   57236.887,   57979.381,     742.494,
   68291.265,   68920.338,     629.073,
Is_True,           1.5875%,
Analysis,STARLINK-3349 - STARLINK-1121,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-1909,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-2118,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-2027,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-1141,
       Rise,         Set, Duration (s),
   10691.083,   10955.230,     264.147,
   24977.909,   25267.500,     289.591,
Is_True,           0.6409%,
Analysis,STARLINK-3349 - STARLINK-3156,
       Rise,         Set, Duration (s),
      80.336,   53960.524,   53880.189,
   54420.646,   68269.195,   13848.549,
   68743.675,   82572.404,   13828.729,
   83031.016,   86400.000,    3368.984,
Is_True,          98.2945%,
Analysis,STARLINK-3349 - STARLINK-1603,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-1489,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-2618,
       Rise,         Set, Duration (s),
       0.000,    3673.634,    3673.634,
   13988.016,   20891.589,    6903.573,
   28297.553,   29489.898,    1192.345,
   42585.037,   43845.147,    1260.110,
   56897.031,   58179.989,    1282.959,
   65466.842,   72531.700,    7064.859,
   79780.689,   86400.000,    6619.311,
Is_True,          32.4037%,
Analysis,STARLINK-3349 - STARLINK-3240,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-3862,
       Rise,         Set, Duration (s),
    3207.272,    4255.464,    1048.192,
   11369.734,   21259.474,    9889.740,
   28420.672,   29379.053,     958.381,
Is_True,          13.7689%,
Analysis,STARLINK-3349 - STARLINK-2031,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-2271,
       Rise,         Set, Duration (s),
     546.741,    7672.948,    7126.207,
   14848.746,   22006.817,    7158.071,
   32021.993,   39197.922,    7175.929,
   46342.038,   53516.028,    7173.990,
   60646.093,   67847.780,    7201.686,
   74967.416,   82164.695,    7197.279,
Is_True,          49.8069%,
Analysis,STARLINK-3349 - STARLINK-2350,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-2292,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3349 - STARLINK-3350,
       Rise,         Set, Duration (s),
   24901.183,   25357.448,     456.265,
   38880.212,   39664.827,     784.616,
   50131.983,   51044.683,     912.700,
   64255.273,   65214.322,     959.049,
   75592.408,   79338.836,    3746.428,
Is_True,           7.9387%,
Analysis,STARLINK-3349 - FALCON 9 DEB18,
       Rise,         Set, Duration (s),
   74743.213,   75787.063,    1043.850,
   85630.434,   86400.000,     769.566,
