
SOAP Analysis Report Output for starlink_20_sats_40.orb,
Generated: Mon Jan 09 13:33:10 2023,
Start: 2016/04/05 01:42:00.00, Stop: 2016/04/06 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-3718 - STARLINK-3255,
       Rise,         Set, Duration (s),
       0.000,   14398.010,   14398.010,
   17101.767,   21091.272,    3989.506,
   21602.605,   30147.359,    8544.754,
   32852.581,   40890.756,    8038.174,
   43202.377,   60747.904,   17545.527,
   61202.373,   71547.431,   10345.058,
   72002.067,   86400.000,   14397.933,
Is_True,          89.4201%,
Analysis,STARLINK-3718 - STARLINK-1457,
       Rise,         Set, Duration (s),
    2702.491,    7085.279,    4382.788,
    7202.452,   19347.664,   12145.212,
   22502.940,   39597.611,   17094.671,
   41852.202,   53998.013,   12145.811,
   54452.009,   86400.000,   31947.991,
Is_True,          89.9496%,
Analysis,STARLINK-3718 - STARLINK-1465,
       Rise,         Set, Duration (s),
       0.000,    3598.218,    3598.218,
    4052.541,   30148.151,   26095.610,
   32458.639,   40948.122,    8489.484,
   45452.143,   58947.821,   13495.678,
   84602.752,   86400.000,    1797.248,
Is_True,          61.8938%,
Analysis,STARLINK-3718 - STARLINK-3458,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3718 - STARLINK-3632,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3718 - STARLINK-2390,
       Rise,         Set, Duration (s),
     902.903,   10740.934,    9838.031,
   11252.898,   15690.884,    4437.985,
   18452.340,   25140.900,    6688.560,
   25258.853,   31890.824,    6631.971,
   36460.012,   44547.445,    8087.434,
   49052.207,   66147.998,   17095.791,
   77402.944,   86400.000,    8997.056,
Is_True,          71.5010%,
Analysis,STARLINK-3718 - STARLINK-1138,
       Rise,         Set, Duration (s),
    2252.506,   18897.467,   16644.961,
   22052.599,   39147.137,   17094.538,
   41852.664,   53547.355,   11694.691,
   54452.288,   86400.000,   31947.712,
Is_True,          89.5624%,
Analysis,STARLINK-3718 - STARLINK-2624,
       Rise,         Set, Duration (s),
     452.458,   17547.317,   17094.859,
   20702.615,   46347.341,   25644.726,
   48601.584,   75090.921,   26489.337,
   75602.945,   86400.000,   10797.055,
Is_True,          92.6227%,
Analysis,STARLINK-3718 - STARLINK-3568,
       Rise,         Set, Duration (s),
       0.000,   86400.000,   86400.000,
Is_True,         100.0000%,
Analysis,STARLINK-3718 - STARLINK-1433,
       Rise,         Set, Duration (s),
       0.000,    6747.822,    6747.822,
    9902.355,   14342.654,    4440.299,
   14401.807,   21597.562,    7195.755,
   22050.912,   55740.746,   33689.834,
   61708.887,   86399.191,   24690.305,
Is_True,          88.8472%,
Analysis,STARLINK-3718 - STARLINK-3543,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3718 - STARLINK-1378,
       Rise,         Set, Duration (s),
       0.000,     897.182,     897.182,
    9452.619,   21147.497,   11694.878,
   24302.847,   32397.455,    8094.608,
   33301.980,   40947.348,    7645.368,
   43201.695,   61140.882,   17939.188,
   61652.390,   70647.548,    8995.157,
   72452.350,   86400.000,   13947.650,
Is_True,          80.1088%,
Analysis,STARLINK-3718 - STARLINK-1580,
       Rise,         Set, Duration (s),
       0.000,    3147.956,    3147.956,
    4052.537,   20697.727,   16645.191,
   23402.061,   30147.694,    6745.633,
   32852.600,   40890.863,    8038.263,
   43202.291,   59399.451,   16197.160,
   66659.198,   70197.578,    3538.380,
   81002.118,   86400.000,    5397.882,
Is_True,          69.1093%,
