
SOAP Analysis Report Output for starlink_20_sats_8.orb,
Generated: Mon Jan 09 13:30:14 2023,
Start: 1916/10/21 01:42:00.00, Stop: 1916/10/22 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-3912 - STARLINK-1918,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3912 - STARLINK-1581,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3912 - STARLINK-1202,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3912 - STARLINK-1166,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3912 - STARLINK-3074,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3912 - STARLINK-2507,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3912 - STARLINK-2266,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3912 - STARLINK-3611,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3912 - STARLINK-2472,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3912 - STARLINK-3055,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3912 - STARLINK-1575,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3912 - STARLINK-3773,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3912 - STARLINK-2737,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3912 - STARLINK-1209,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3912 - FALCON 9 DEB14,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3912 - STARLINK-1289,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3912 - STARLINK-3349,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3912 - STARLINK-3159,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3912 - STARLINK-2596,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3912 - IOAG-Equatorial,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3912 - IOAG-North1,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3912 - IOAG-North2,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3912 - IOAG-South1,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3912 - IOAG-South2,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1918 - STARLINK-1581,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1918 - STARLINK-1202,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1918 - STARLINK-1166,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1918 - STARLINK-3074,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1918 - STARLINK-2507,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1918 - STARLINK-2266,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1918 - STARLINK-3611,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1918 - STARLINK-2472,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1918 - STARLINK-3055,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1918 - STARLINK-1575,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1918 - STARLINK-3773,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1918 - STARLINK-2737,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1918 - STARLINK-1209,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1918 - FALCON 9 DEB14,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1918 - STARLINK-1289,
       Rise,         Set, Duration (s),
