
SOAP Analysis Report Output for starlink_starlink_20_sats_32.orb,
Generated: Thu Dec 15 21:12:19 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-1771 - STARLINK-3368,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1771 - STARLINK-2592,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1771 - STARLINK-2562,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1771 - STARLINK-1954,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1771 - STARLINK-1016,
       Rise,         Set, Duration (s),
   10721.217,   11146.549,     425.331,
   25055.831,   25473.439,     417.608,
   39382.519,   39808.991,     426.473,
   53717.134,   54135.884,     418.750,
   68043.834,   68471.422,     427.588,
Is_True,           2.4488%,
Analysis,STARLINK-1771 - STARLINK-1773,
       Rise,         Set, Duration (s),
       0.000,     390.384,     390.384,
   14064.493,   14722.375,     657.882,
   28396.919,   29051.475,     654.556,
   42725.845,   43383.480,     657.635,
   57058.281,   57712.583,     654.301,
   71387.209,   72044.602,     657.392,
Is_True,           4.2502%,
Analysis,STARLINK-1771 - STARLINK-2706,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1771 - STARLINK-2568,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1771 - STARLINK-3698,
       Rise,         Set, Duration (s),
    4210.566,   11145.429,    6934.863,
Is_True,           8.0265%,
Analysis,STARLINK-1771 - STARLINK-3566,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1771 - STARLINK-2683,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1771 - STARLINK-2654,
       Rise,         Set, Duration (s),
   10679.459,   11376.102,     696.643,
   25012.809,   25704.678,     691.869,
   39341.138,   40038.827,     697.689,
   53674.490,   54367.395,     692.906,
   68002.823,   68701.530,     698.708,
   82336.176,   83030.092,     693.915,
Is_True,           4.8284%,
Analysis,STARLINK-1771 - STARLINK-3153,
       Rise,         Set, Duration (s),
       0.000,     387.440,     387.440,
   14159.399,   14686.797,     527.398,
   28495.174,   28980.599,     485.425,
   42827.268,   43277.145,     449.876,
Is_True,           2.1414%,
Analysis,STARLINK-1771 - STARLINK-2571,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1771 - STARLINK-3177,
       Rise,         Set, Duration (s),
    6530.926,    7784.614,    1253.688,
   15093.816,   22131.614,    7037.798,
   29394.098,   36459.460,    7065.361,
   43676.197,   50802.402,    7126.204,
   60829.201,   68001.541,    7172.339,
   75135.105,   82324.338,    7189.234,
Is_True,          42.6442%,
Analysis,STARLINK-1771 - STARLINK-1329,
       Rise,         Set, Duration (s),
    7014.641,   11012.059,    3997.419,
   21336.873,   25336.096,    3999.222,
   35675.902,   39675.907,    4000.005,
   49998.138,   51141.432,    1143.294,
   64337.184,   65465.422,    1128.238,
   78659.422,   79805.208,    1145.786,
Is_True,          17.8402%,
Analysis,STARLINK-1771 - STARLINK-2755,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1771 - STARLINK-2615,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1771 - STARLINK-1088,
       Rise,         Set, Duration (s),
     297.296,   10757.937,   10460.641,
   14616.802,   25081.067,   10464.265,
   28959.124,   39419.814,   10460.690,
