
SOAP Analysis Report Output for starlink_80_sats_43.orb,
Generated: Fri Dec 16 10:22:47 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-3608 - STARLINK-2702,
       Rise,         Set, Duration (s),
   82383.861,   83143.889,     760.028,
Is_True,           0.8797%,
Analysis,STARLINK-3608 - STARLINK-1209,
       Rise,         Set, Duration (s),
       7.773,   32484.910,   32477.137,
Is_True,          37.5893%,
Analysis,STARLINK-3608 - STARLINK-2627,
       Rise,         Set, Duration (s),
    6569.718,    7843.405,    1273.687,
   14974.536,   21811.930,    6837.394,
Is_True,           9.3878%,
Analysis,STARLINK-3608 - STARLINK-3139,
       Rise,         Set, Duration (s),
   85598.090,   86400.000,     801.910,
Is_True,           0.9281%,
Analysis,STARLINK-3608 - STARLINK-2053,
       Rise,         Set, Duration (s),
    7873.947,   41034.052,   33160.106,
Is_True,          38.3798%,
Analysis,STARLINK-3608 - STARLINK-3048,
       Rise,         Set, Duration (s),
   63692.939,   68169.249,    4476.310,
   68849.738,   86400.000,   17550.262,
Is_True,          25.4937%,
Analysis,STARLINK-3608 - STARLINK-2403,
       Rise,         Set, Duration (s),
    2981.766,    3831.856,     850.091,
   13964.908,   20936.068,    6971.161,
   28106.557,   29240.861,    1134.305,
Is_True,          10.3652%,
Analysis,STARLINK-3608 - STARLINK-2573,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3608 - STARLINK-1306,
       Rise,         Set, Duration (s),
   10465.528,   11243.658,     778.129,
   24495.149,   25316.707,     821.558,
   35804.468,   36494.541,     690.073,
Is_True,           2.6502%,
Analysis,STARLINK-3608 - STARLINK-1128,
       Rise,         Set, Duration (s),
   66196.548,   86400.000,   20203.452,
Is_True,          23.3836%,
Analysis,STARLINK-3608 - STARLINK-1458,
       Rise,         Set, Duration (s),
   53439.557,   54681.102,    1241.545,
   61829.022,   68722.964,    6893.943,
   79038.498,   79669.989,     631.491,
Is_True,          10.1470%,
Analysis,STARLINK-3608 - STARLINK-1634,
       Rise,         Set, Duration (s),
       0.000,   18561.826,   18561.826,
Is_True,          21.4836%,
Analysis,STARLINK-3608 - STARLINK-3269,
       Rise,         Set, Duration (s),
   13890.246,   14820.201,     929.955,
   25031.163,   28918.551,    3887.388,
   39172.964,   40039.464,     866.500,
Is_True,           6.5785%,
Analysis,STARLINK-3608 - STARLINK-1865,
       Rise,         Set, Duration (s),
    5369.935,   38045.570,   32675.635,
Is_True,          37.8190%,
Analysis,STARLINK-3608 - STARLINK-3713,
       Rise,         Set, Duration (s),
    6881.137,    7403.355,     522.218,
   17897.937,   18483.858,     585.921,
   42706.882,   43422.125,     715.243,
   53747.353,   54503.957,     756.605,
   64793.812,   65587.356,     793.544,
   78616.169,   79437.892,     821.723,
Is_True,           4.8556%,
Analysis,STARLINK-3608 - STARLINK-1217,
       Rise,         Set, Duration (s),
   74676.229,   86400.000,   11723.771,
Is_True,          13.5692%,
Analysis,STARLINK-3608 - FALCON 9 DEB2,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-3608 - STARLINK-3165,
       Rise,         Set, Duration (s),
   25056.207,   31886.300,    6830.093,
   33229.625,   45988.074,   12758.449,
   47255.025,   54211.569,    6956.544,
Is_True,          30.7235%,
Analysis,STARLINK-3608 - STARLINK-2732,
       Rise,         Set, Duration (s),
   10218.851,   11067.385,     848.534,
   21589.822,   22177.170,     587.348,
Is_True,           1.6619%,
Analysis,STARLINK-3608 - STARLINK-3226,
